0.00,1.133495
0.01,1.262958
0.02,0.887737
0.03,0.885620
0.05,0.650565
0.06,0.564005
0.07,0.504425
0.08,0.483145
0.09,0.465879
0.10,0.531154
0.12,0.717156
0.13,0.741469
0.14,0.695477
0.15,0.619837
0.16,0.793752
0.17,0.697309
0.19,0.622179
0.20,0.597247
0.21,0.676438
0.22,0.730821
0.23,0.715440
0.24,0.527353
0.26,0.599306
0.27,0.633536
0.28,0.575609
0.29,0.585012
0.30,0.570146
0.31,0.529660
0.33,0.502861
0.34,0.564009
0.35,0.528307
0.36,0.548150
0.37,0.530478
0.38,0.519421
0.39,0.443832
0.41,0.511683
0.42,0.581588
0.43,0.508987
0.44,0.453636
0.45,0.572150
0.46,0.616051
0.48,0.500820
0.49,0.536811
0.50,0.533388
0.51,0.527334
0.52,0.531971
0.53,0.543925
0.55,0.541019
0.56,0.572363
0.57,0.579981
0.58,0.650883
0.59,0.582945
0.60,0.606709
0.62,0.636307
0.63,0.569821
0.64,0.548796
0.65,0.551668
0.66,0.579645
0.67,0.577615
0.68,0.461343
0.70,0.540876
0.71,0.639684
0.72,0.573877
0.73,0.624494
0.74,0.619944
0.75,0.534260
0.77,0.571175
0.78,0.561483
0.79,0.573851
0.80,0.504970
0.81,0.569676
0.82,0.576983
0.84,0.553019
0.85,0.492525
0.86,0.585819
0.87,0.568980
0.88,0.590438
0.89,0.584557
0.91,0.541795
0.92,0.481616
0.93,0.482752
0.94,0.519142
0.95,0.431729
0.96,0.420573
0.98,0.366141
0.99,0.394103
1.00,0.352905
1.01,0.357007
1.02,0.293533
1.03,0.340501
1.04,0.319642
1.06,0.333316
1.07,0.281289
1.08,1.063056
1.09,1.250417
1.10,0.870492
1.11,0.775005
1.13,0.654301
1.14,0.645857
1.15,0.568919
1.16,0.535340
1.17,0.534671
1.18,0.437009
1.20,0.533348
1.21,0.537570
1.22,0.539942
1.23,0.494355
1.24,0.452256
1.25,0.479339
1.27,0.499851
1.28,0.451365
1.29,0.451938
1.30,0.531623
1.31,0.508780
1.32,0.537888
1.34,0.589061
1.35,0.467323
1.36,0.479457
1.37,0.419970
1.38,0.443559
1.39,0.401521
1.40,0.454319
1.42,0.558600
1.43,0.448922
1.44,0.445840
1.45,0.380007
1.46,0.423030
1.47,0.408311
1.49,0.363309
1.50,0.350406
1.51,0.382339
1.52,0.345212
1.53,0.227812
1.54,0.227891
1.56,0.276689
1.57,0.280339
1.58,0.323599
1.59,0.245346
1.60,0.228817
1.61,0.257583
1.63,0.303561
1.64,0.886351
1.65,1.089482
1.66,0.779758
1.67,0.703799
1.68,0.593288
1.70,0.536977
1.71,0.513704
1.72,0.502355
1.73,0.586370
1.74,0.552124
1.75,0.571661
1.76,0.463344
1.78,0.505782
1.79,0.607387
1.80,0.507234
1.81,0.463619
1.82,0.468647
1.83,0.568215
1.85,0.499474
1.86,0.551648
1.87,0.501347
1.88,0.541785
1.89,0.513513
1.90,0.502828
1.92,0.495467
1.93,0.480605
1.94,0.482090
1.95,0.488179
1.96,0.477990
1.97,0.529692
1.99,0.522780
2.00,0.449307
2.01,0.423290
2.02,0.442190
2.03,0.457408
2.04,0.381891
2.05,0.345951
2.07,0.346871
2.08,0.366490
2.09,0.331431
2.10,0.331681
2.11,0.296588
2.12,0.275749
2.14,0.239178
2.15,0.242336
2.16,0.395474
2.17,0.848335
2.18,1.023053
2.19,0.970012
2.21,0.693106
2.22,0.850525
2.23,0.640149
2.24,0.516496
2.25,0.443125
2.26,0.502990
2.28,0.520730
2.29,0.609873
2.30,0.673462
2.31,0.497691
2.32,0.626434
2.33,0.601147
2.35,0.547338
2.36,0.683955
2.37,0.552857
2.38,0.599221
2.39,0.522846
2.40,0.518721
2.41,0.546965
2.43,0.452832
2.44,0.575478
2.45,0.573798
2.46,0.508084
2.47,0.461714
2.48,0.537549
2.50,0.520944
2.51,0.492811
2.52,0.545398
2.53,0.549262
2.54,0.402235
2.55,0.437181
2.57,0.441508
2.58,0.379556
2.59,0.377913
2.60,0.391624
2.61,0.398130
2.62,0.318079
2.64,0.357482
2.65,0.387684
2.66,0.307774
2.67,0.266139
2.68,0.255404
2.69,0.267112
2.71,0.250236
2.72,0.295422
2.73,0.295828
2.74,0.283856
2.75,0.381764
2.76,0.379547
2.77,0.400819
2.79,0.303448
2.80,0.353177
2.81,0.414313
2.82,0.329032
2.83,0.251626
2.84,0.350130
2.86,0.328200
2.87,0.320346
